Plataforma,IP,Hostname,Ciudad,Modelo,EoL Status,ios,Version
Móvil,192.168.104.54,RT02TEC_DIST_ACOPI,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.104.45,RT02TEC_DIST_ALKARAWI,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.104.59,RT02TEC_DIST_BUCAR,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.255.176,RT02TEC_DIST_INGENIO,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.104.47,RT02TEC_DIST_MED_MEG,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.104.52,RT02TEC_DIST_PEREIRA,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.104.53,RT02TEC_DIST_TOB,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.104.12,RT02TEC_DIST_TRIARA_2,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.104.33,RT02TEC_DIST_VENECIA,Not Info Yet,ASR1001,No Yet Cataloged,XE,asr1001-universalk9.03.07.04.S.152-4.S4
Móvil,192.168.255.86,RT02TUN_TEC,Not Info Yet,2811,No Yet Cataloged,IOS,c2800nm-entbasek9-mz.124-13f
Móvil,192.168.255.90,RT02VVO_TEC,Not Info Yet,2811,No Yet Cataloged,IOS,c2800nm-entbasek9-mz.124-19b
Móvil,192.168.71.240,RT-ARANDA-CLNS,Not Info Yet,2801,No Yet Cataloged,IOS,c2801-entbasek9-mz.124-19b
Móvil,192.168.78.240,RT-CALI-CLNS,Not Info Yet,2811,No Yet Cataloged,IOS,c2800nm-entbasek9-mz.124-19b
Móvil,192.168.255.43,RTCCM4_3,Not Info Yet,2811,No Yet Cataloged,IOS,c2800nm-ipbasek9-mz.124-25g
Móvil,192.168.255.81,RTCCM8_1,Not Info Yet,2811,No Yet Cataloged,IOS,c2800nm-ipbasek9-mz.124-25g
Móvil,192.168.200.169,RTCCM8_2,Not Info Yet,2811,No Yet Cataloged,IOS,c2800nm-ipbasek9-mz.124-25g
Móvil,192.168.255.147,RT-FONTIBON-CLNS,Not Info Yet,2801,No Yet Cataloged,IOS,c2801-entbasek9-mz.124-19b
Móvil,192.168.73.240,RT-MEDE-CLNS,Not Info Yet,2811,No Yet Cataloged,IOS,c2800nm-entbasek9-mz.124-19b
Móvil,192.168.255.139,RT-PARQUE-CLNS,Not Info Yet,2801,No Yet Cataloged,IOS,c2801-entbasek9-mz.124-19b
